"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "Less", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\button\button.component.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\button\button.component.less", "Less", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\button\button.component.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 13, 15, 92
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\carousle\zorro.component.html", "HTML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\carousle\zorro.component.less", "Less", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\zorro\carousle\zorro.component.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\directives\clickoutside.directive.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\directives\img-default.directive.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\eventEmit\eventEmit.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\pipes\date-pipe.pipe.spec.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\core\pipes\date-pipe.pipe.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
